,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
51,Positif,  berkar ramadhan  goodbyejokowi  goodbyejokowi,"['', 'berkar', 'ramadhan', 'goodbyejokowi', 'goodbyejokowi']","['', 'berkar', 'ramadhan', 'goodbyejokowi', 'goodbyejokowi']","['', 'berkar', 'ramadhan', 'goodbyejokowi', 'goodbyejokowi']"
52,Positif, iya mbak  gak da buka hp td  slmt pagi mbak  goodbyejokowi,"['', 'iya', 'mbak', 'gak', 'da', 'buka', 'hp', 'td', 'slmt', 'pagi', 'mbak', 'goodbyejokowi']","['', 'iya', 'mbak', 'gak', 'da', 'buka', 'hp', 'td', 'slmt', 'pagi', 'mbak', 'goodbyejokowi']","['', 'iya', 'mbak', 'gak', 'da', 'buka', 'hp', 'td', 'slmt', 'pagi', 'mbak', 'goodbyejokowi']"
53,Negatif,rezim licik ala pki  tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['rezim', 'licik', 'ala', 'pki', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['rezim', 'licik', 'ala', 'pki', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['rezim', 'licik', 'ala', 'pki', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
54,Negatif,bongkar aja lah biar mewek lagi si tito  tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['bongkar', 'aja', 'lah', 'biar', 'mewek', 'lagi', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['bongkar', 'aja', 'biar', 'mewek', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['bongkar', 'aja', 'biar', 'mewek', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
55,Negatif,udah kena virus akut  serta takut kehilangan jabatan goodbyejokowi,"['udah', 'kena', 'virus', 'akut', 'serta', 'takut', 'kehilangan', 'jabatan', 'goodbyejokowi']","['udah', 'kena', 'virus', 'akut', 'takut', 'kehilangan', 'jabatan', 'goodbyejokowi']","['udah', 'kena', 'virus', 'akut', 'takut', 'hilang', 'jabat', 'goodbyejokowi']"
56,Negatif,rezim rakus   tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['rezim', 'rakus', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['rezim', 'rakus', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['rezim', 'rakus', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
57,Negatif,mana berani si tito tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['mana', 'berani', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['berani', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['berani', 'si', 'tito', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
58,Negatif, rakyat sudah sangat menderita dan terzolimi goodbyejokowi  goodbyejokowi,"['', 'rakyat', 'sudah', 'sangat', 'menderita', 'dan', 'terzolimi', 'goodbyejokowi', 'goodbyejokowi']","['', 'rakyat', 'menderita', 'terzolimi', 'goodbyejokowi', 'goodbyejokowi']","['', 'rakyat', 'derita', 'terzolimi', 'goodbyejokowi', 'goodbyejokowi']"
59,Positif,mau berapapun periode yg akan terjadi  itu kehendak allah  yang allah perintahkan adalah melawan kedzaliman  goodbyejokowi,"['mau', 'berapapun', 'periode', 'yg', 'akan', 'terjadi', 'itu', 'kehendak', 'allah', 'yang', 'allah', 'perintahkan', 'adalah', 'melawan', 'kedzaliman', 'goodbyejokowi']","['periode', 'yg', 'kehendak', 'allah', 'allah', 'perintahkan', 'melawan', 'kedzaliman', 'goodbyejokowi']","['periode', 'yg', 'hendak', 'allah', 'allah', 'perintah', 'lawan', 'kedzaliman', 'goodbyejokowi']"
60,Positif,satu nusa  satu bangsa satukan kata kita goodbyejokowi  ,"['satu', 'nusa', 'satu', 'bangsa', 'satukan', 'kata', 'kita', 'goodbyejokowi', '']","['nusa', 'bangsa', 'satukan', 'goodbyejokowi', '']","['nusa', 'bangsa', 'satu', 'goodbyejokowi', '']"
61,Positif,aku sll pengen bilang   goodbyejokowi  reformasijilid ,"['aku', 'sll', 'pengen', 'bilang', 'goodbyejokowi', 'reformasijilid', '']","['sll', 'pengen', 'bilang', 'goodbyejokowi', 'reformasijilid', '']","['sll', 'ken', 'bilang', 'goodbyejokowi', 'reformasijilid', '']"
62,Positif,aamiin ya rabbal alamin  goodbyejokowi    trade mark  ,"['aamiin', 'ya', 'rabbal', 'alamin', 'goodbyejokowi', 'trade', 'mark', '']","['aamiin', 'ya', 'rabbal', 'alamin', 'goodbyejokowi', 'trade', 'mark', '']","['aamiin', 'ya', 'rabbal', 'alamin', 'goodbyejokowi', 'trade', 'mark', '']"
63,Positif,lah  masih hidup kan   kenapa goodbyejokowi,"['lah', 'masih', 'hidup', 'kan', 'kenapa', 'goodbyejokowi']","['hidup', 'goodbyejokowi']","['hidup', 'goodbyejokowi']"
64,Negatif, abang sih  kebangetan  mosok kita  diajak goodbyejokowi   emangnya bisaa  kalau bisa  ayolah kita goodbyejokowi in ,"['', 'abang', 'sih', 'kebangetan', 'mosok', 'kita', 'diajak', 'goodbyejokowi', 'emangnya', 'bisaa', 'kalau', 'bisa', 'ayolah', 'kita', 'goodbyejokowi', 'in', '']","['', 'abang', 'sih', 'kebangetan', 'mosok', 'diajak', 'goodbyejokowi', 'emangnya', 'bisaa', 'ayolah', 'goodbyejokowi', 'in', '']","['', 'abang', 'sih', 'banget', 'mosok', 'ajak', 'goodbyejokowi', 'emang', 'bisaa', 'ayo', 'goodbyejokowi', 'in', '']"
65,Positif,terimakasih atas kehadirannya  goodbyejokowi,"['terimakasih', 'atas', 'kehadirannya', 'goodbyejokowi']","['terimakasih', 'kehadirannya', 'goodbyejokowi']","['terimakasih', 'hadir', 'goodbyejokowi']"
66,Negatif, yang penting perut mereka kenyang dulu bu  masa bodo dengan nelayan dan rakyatnya  goodbyejokowi,"['', 'yang', 'penting', 'perut', 'mereka', 'kenyang', 'dulu', 'bu', 'masa', 'bodo', 'dengan', 'nelayan', 'dan', 'rakyatnya', 'goodbyejokowi']","['', 'perut', 'kenyang', 'bu', 'bodo', 'nelayan', 'rakyatnya', 'goodbyejokowi']","['', 'perut', 'kenyang', 'bu', 'bodo', 'nelayan', 'rakyat', 'goodbyejokowi']"
67,Negatif,penderitaan oleh bangsa sendiri lebih menyakitkan drpada  bangsa asing  lawan penjajah merdeka atau mati goodbyejokowi,"['penderitaan', 'oleh', 'bangsa', 'sendiri', 'lebih', 'menyakitkan', 'drpada', 'bangsa', 'asing', 'lawan', 'penjajah', 'merdeka', 'atau', 'mati', 'goodbyejokowi']","['penderitaan', 'bangsa', 'menyakitkan', 'drpada', 'bangsa', 'asing', 'lawan', 'penjajah', 'merdeka', 'mati', 'goodbyejokowi']","['derita', 'bangsa', 'sakit', 'drpada', 'bangsa', 'asing', 'lawan', 'jajah', 'merdeka', 'mati', 'goodbyejokowi']"
68,Negatif,  goodbyejokowi game over,"['', 'goodbyejokowi', 'game', 'over']","['', 'goodbyejokowi', 'game', 'over']","['', 'goodbyejokowi', 'game', 'over']"
69,Positif,aamiin aamii yra goodbyejokowi  goodbyejokowi,"['aamiin', 'aamii', 'yra', 'goodbyejokowi', 'goodbyejokowi']","['aamiin', 'aamii', 'yra', 'goodbyejokowi', 'goodbyejokowi']","['aamiin', 'aamii', 'yra', 'goodbyejokowi', 'goodbyejokowi']"
70,Positif,kerja aja ga becus goodbyejokowi goodbyejokowi,"['kerja', 'aja', 'ga', 'becus', 'goodbyejokowi', 'goodbyejokowi']","['kerja', 'aja', 'ga', 'becus', 'goodbyejokowi', 'goodbyejokowi']","['kerja', 'aja', 'ga', 'becus', 'goodbyejokowi', 'goodbyejokowi']"
71,Positif, aamiin aamiin allahumma aamiin goodbyejokowi,"['', 'aamiin', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi']","['', 'aamiin', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi']","['', 'aamiin', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi']"
72,Negatif, pemerintahan paling brutal  goodbyejokowi  goodbyejokowi,"['', 'pemerintahan', 'paling', 'brutal', 'goodbyejokowi', 'goodbyejokowi']","['', 'pemerintahan', 'brutal', 'goodbyejokowi', 'goodbyejokowi']","['', 'perintah', 'brutal', 'goodbyejokowi', 'goodbyejokowi']"
73,Negatif,atas dasar gerakan mahasiswa the and game over jokowi  goodbyejokowi,"['atas', 'dasar', 'gerakan', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi', 'goodbyejokowi']","['dasar', 'gerakan', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi', 'goodbyejokowi']","['dasar', 'gera', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi', 'goodbyejokowi']"
74,Positif,klo gak mampu  serahkan ke yang lain  islam punya solusi goodbyejokowi,"['klo', 'gak', 'mampu', 'serahkan', 'ke', 'yang', 'lain', 'islam', 'punya', 'solusi', 'goodbyejokowi']","['klo', 'gak', 'serahkan', 'islam', 'solusi', 'goodbyejokowi']","['klo', 'gak', 'serah', 'islam', 'solusi', 'goodbyejokowi']"
75,Negatif,pemimpin terburuk goodbyejokowi,"['pemimpin', 'terburuk', 'goodbyejokowi']","['pemimpin', 'terburuk', 'goodbyejokowi']","['pimpin', 'buruk', 'goodbyejokowi']"
76,Negatif, yang begini masih minta nambah periode  goodbyejokowi  goodbyejokowi,"['', 'yang', 'begini', 'masih', 'minta', 'nambah', 'periode', 'goodbyejokowi', 'goodbyejokowi']","['', 'nambah', 'periode', 'goodbyejokowi', 'goodbyejokowi']","['', 'nambah', 'periode', 'goodbyejokowi', 'goodbyejokowi']"
77,Negatif,klo goodbyejokowi yang naik maruf amin trs wakilnya jadi puan maharani  lepas dr kandang   masuk le kandang  ,"['klo', 'goodbyejokowi', 'yang', 'naik', 'maruf', 'amin', 'trs', 'wakilnya', 'jadi', 'puan', 'maharani', 'lepas', 'dr', 'kandang', 'masuk', 'le', 'kandang', '']","['klo', 'goodbyejokowi', 'maruf', 'amin', 'trs', 'wakilnya', 'puan', 'maharani', 'lepas', 'dr', 'kandang', 'masuk', 'le', 'kandang', '']","['klo', 'goodbyejokowi', 'maruf', 'amin', 'trs', 'wakil', 'puan', 'maharani', 'lepas', 'dr', 'kandang', 'masuk', 'le', 'kandang', '']"
78,Negatif,goodbyejokowi goodbyejokowi reformasi jilid ii singkirkan rezim otoriter,"['goodbyejokowi', 'goodbyejokowi', 'reformasi', 'jilid', 'ii', 'singkirkan', 'rezim', 'otoriter']","['goodbyejokowi', 'goodbyejokowi', 'reformasi', 'jilid', 'ii', 'singkirkan', 'rezim', 'otoriter']","['goodbyejokowi', 'goodbyejokowi', 'reformasi', 'jilid', 'ii', 'singkir', 'rezim', 'otoriter']"
79,Positif,semoga doa kita terkabul meskipun penggantinya tdk bs membangun indonesia lebih baik paling tidak bs mengurangi hutang dan tidak membebani rakyat dengan mahal harga  kebutuhan pokok goodbyejokowi,"['semoga', 'doa', 'kita', 'terkabul', 'meskipun', 'penggantinya', 'tdk', 'bs', 'membangun', 'indonesia', 'lebih', 'baik', 'paling', 'tidak', 'bs', 'mengurangi', 'hutang', 'dan', 'tidak', 'membebani', 'rakyat', 'dengan', 'mahal', 'harga', 'kebutuhan', 'pokok', 'goodbyejokowi']","['semoga', 'doa', 'terkabul', 'penggantinya', 'tdk', 'bs', 'membangun', 'indonesia', 'bs', 'mengurangi', 'hutang', 'membebani', 'rakyat', 'mahal', 'harga', 'kebutuhan', 'pokok', 'goodbyejokowi']","['moga', 'doa', 'kabul', 'ganti', 'tdk', 'bs', 'bangun', 'indonesia', 'bs', 'kurang', 'hutang', 'beban', 'rakyat', 'mahal', 'harga', 'butuh', 'pokok', 'goodbyejokowi']"
80,Positif,mahasiswa adalah referensi rakyat  mahasiswa mewakili suara rakyat  goodbyejokowi  goodbyejokowi,"['mahasiswa', 'adalah', 'referensi', 'rakyat', 'mahasiswa', 'mewakili', 'suara', 'rakyat', 'goodbyejokowi', 'goodbyejokowi']","['mahasiswa', 'referensi', 'rakyat', 'mahasiswa', 'mewakili', 'suara', 'rakyat', 'goodbyejokowi', 'goodbyejokowi']","['mahasiswa', 'referensi', 'rakyat', 'mahasiswa', 'wakil', 'suara', 'rakyat', 'goodbyejokowi', 'goodbyejokowi']"
81,Negatif,apa yang gak naik di buatnya  tensi pun naik di buatnya goodbyejokowi,"['apa', 'yang', 'gak', 'naik', 'di', 'buatnya', 'tensi', 'pun', 'naik', 'di', 'buatnya', 'goodbyejokowi']","['gak', 'buatnya', 'tensi', 'buatnya', 'goodbyejokowi']","['gak', 'buat', 'tensi', 'buat', 'goodbyejokowi']"
82,Positif,akan kah jadi seruan aksi kembali   akankah jadi gejayan memanggil lagi   goodbyejokowi  goodbyejokowi  goodbyejokowi,"['akan', 'kah', 'jadi', 'seruan', 'aksi', 'kembali', 'akankah', 'jadi', 'gejayan', 'memanggil', 'lagi', 'goodbyejokowi', 'goodbyejokowi', 'goodbyejokowi']","['kah', 'seruan', 'aksi', 'gejayan', 'memanggil', 'goodbyejokowi', 'goodbyejokowi', 'goodbyejokowi']","['kah', 'seru', 'aksi', 'gejayan', 'panggil', 'goodbyejokowi', 'goodbyejokowi', 'goodbyejokowi']"
83,Positif,untuk seluruh pejuang di sosmed  tgl    waktunya kita berjuang di dunia nyata  satukan suara  goodbyejokowi,"['untuk', 'seluruh', 'pejuang', 'di', 'sosmed', 'tgl', 'waktunya', 'kita', 'berjuang', 'di', 'dunia', 'nyata', 'satukan', 'suara', 'goodbyejokowi']","['pejuang', 'sosmed', 'tgl', 'berjuang', 'dunia', 'nyata', 'satukan', 'suara', 'goodbyejokowi']","['juang', 'sosmed', 'tgl', 'juang', 'dunia', 'nyata', 'satu', 'suara', 'goodbyejokowi']"
84,Negatif,standar ganda kompresor mfud wkwk tag goodbyejokowi jogja ordebrutal turu subuh inisial m  ,"['standar', 'ganda', 'kompresor', 'mfud', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', '']","['standar', 'ganda', 'kompresor', 'mfud', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', '']","['standar', 'ganda', 'kompresor', 'mfud', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', '']"
85,Negatif,goodbyejokowi it s enough it s over,"['goodbyejokowi', 'it', 's', 'enough', 'it', 's', 'over']","['goodbyejokowi', 'it', 's', 'enough', 'it', 's', 'over']","['goodbyejokowi', 'it', 's', 'enough', 'it', 's', 'over']"
86,Negatif,klo big data milik internal nape si luhut umbar  ke publik  bilang aje big ngibul bkn big data  tag goodbyejokowi jogja ordebrutal turu subuh inisial m,"['klo', 'big', 'data', 'milik', 'internal', 'nape', 'si', 'luhut', 'umbar', 'ke', 'publik', 'bilang', 'aje', 'big', 'ngibul', 'bkn', 'big', 'data', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']","['klo', 'big', 'data', 'milik', 'internal', 'nape', 'si', 'luhut', 'umbar', 'publik', 'bilang', 'aje', 'big', 'ngibul', 'bkn', 'big', 'data', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']","['klo', 'big', 'data', 'milik', 'internal', 'nape', 'si', 'luhut', 'umbar', 'publik', 'bilang', 'aje', 'big', 'ngibul', 'bkn', 'big', 'data', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']"
87,Positif, kenapa mesti goodbyejokowi  ,"['', 'kenapa', 'mesti', 'goodbyejokowi', '']","['', 'mesti', 'goodbyejokowi', '']","['', 'mesti', 'goodbyejokowi', '']"
88,Positif,semoga  goodbyejokowi,"['semoga', 'goodbyejokowi']","['semoga', 'goodbyejokowi']","['moga', 'goodbyejokowi']"
89,Negatif,beuh buzzer   anies mengcrazy                 trade mark   goodbyejokowi,"['beuh', 'buzzer', 'anies', 'mengcrazy', 'trade', 'mark', 'goodbyejokowi']","['beuh', 'buzzer', 'anies', 'mengcrazy', 'trade', 'mark', 'goodbyejokowi']","['beuh', 'buzzer', 'anies', 'mengcrazy', 'trade', 'mark', 'goodbyejokowi']"
90,Positif,it s work   goodbyejokowi,"['it', 's', 'work', 'goodbyejokowi']","['it', 's', 'work', 'goodbyejokowi']","['it', 's', 'work', 'goodbyejokowi']"
91,Negatif,gw tambah lagi nihh  biar tau semua sudah kenyang dg janji  manismuu  goodbyejokowi,"['gw', 'tambah', 'lagi', 'nihh', 'biar', 'tau', 'semua', 'sudah', 'kenyang', 'dg', 'janji', 'manismuu', 'goodbyejokowi']","['gw', 'nihh', 'biar', 'tau', 'kenyang', 'dg', 'janji', 'manismuu', 'goodbyejokowi']","['gw', 'nihh', 'biar', 'tau', 'kenyang', 'dg', 'janji', 'manismuu', 'goodbyejokowi']"
92,Negatif,  ntar juga jadi sampah peradaban ordebrutal  goodbyejokowi,"['', 'ntar', 'juga', 'jadi', 'sampah', 'peradaban', 'ordebrutal', 'goodbyejokowi']","['', 'ntar', 'sampah', 'peradaban', 'ordebrutal', 'goodbyejokowi']","['', 'ntar', 'sampah', 'adab', 'ordebrutal', 'goodbyejokowi']"
93,Negatif,si luhut dah keya perdana menteri yak ngurusin  covid lpg petalite dll s      tag goodbyejokowi jogja ordebrutal turu subuh inisial m,"['si', 'luhut', 'dah', 'keya', 'perdana', 'menteri', 'yak', 'ngurusin', 'covid', 'lpg', 'petalite', 'dll', 's', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']","['si', 'luhut', 'dah', 'keya', 'perdana', 'menteri', 'yak', 'ngurusin', 'covid', 'lpg', 'petalite', 'dll', 's', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']","['si', 'luhut', 'dah', 'keya', 'perdana', 'menteri', 'yak', 'ngurusin', 'covid', 'lpg', 'petalite', 'dll', 's', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm']"
94,Negatif,semua itu bohong goodbyejokowi  ,"['semua', 'itu', 'bohong', 'goodbyejokowi', '']","['bohong', 'goodbyejokowi', '']","['bohong', 'goodbyejokowi', '']"
95,Negatif, kasihan ya gak percaya goodbyejokowi  goodbyejokowi,"['', 'kasihan', 'ya', 'gak', 'percaya', 'goodbyejokowi', 'goodbyejokowi']","['', 'kasihan', 'ya', 'gak', 'percaya', 'goodbyejokowi', 'goodbyejokowi']","['', 'kasihan', 'ya', 'gak', 'percaya', 'goodbyejokowi', 'goodbyejokowi']"
96,Positif,prestasi gub jateng yang sangat fenomenal dan fantastis vrrsi kpk               entah kpk yg lg puyeng atau kompas yg lagi error ngakak bacanya   goodbyejokowi  goodbyejokowi,"['prestasi', 'gub', 'jateng', 'yang', 'sangat', 'fenomenal', 'dan', 'fantastis', 'vrrsi', 'kpk', 'entah', 'kpk', 'yg', 'lg', 'puyeng', 'atau', 'kompas', 'yg', 'lagi', 'error', 'ngakak', 'bacanya', 'goodbyejokowi', 'goodbyejokowi']","['prestasi', 'gub', 'jateng', 'fenomenal', 'fantastis', 'vrrsi', 'kpk', 'kpk', 'yg', 'lg', 'puyeng', 'kompas', 'yg', 'error', 'ngakak', 'bacanya', 'goodbyejokowi', 'goodbyejokowi']","['prestasi', 'gub', 'jateng', 'fenomenal', 'fantastis', 'vrrsi', 'kpk', 'kpk', 'yg', 'lg', 'puyeng', 'kompas', 'yg', 'error', 'ngakak', 'baca', 'goodbyejokowi', 'goodbyejokowi']"
97,Positif,loker  pkss   cleaning service       loker jobsquweb     group     lowongankerja loker lokerjabodetabek lokerindonesia jobsquweb infoloker loker     lokerterbaru lowongankerjaterbaru insert goodbyejokowi amel inisialm  ,"['loker', 'pkss', 'cleaning', 'service', 'loker', 'jobsquweb', 'group', 'lowongankerja', 'loker', 'lokerjabodetabek', 'lokerindonesia', 'jobsquweb', 'infoloker', 'loker', 'lokerterbaru', 'lowongankerjaterbaru', 'insert', 'goodbyejokowi', 'amel', 'inisialm', '']","['loker', 'pkss', 'cleaning', 'service', 'loker', 'jobsquweb', 'group', 'lowongankerja', 'loker', 'lokerjabodetabek', 'lokerindonesia', 'jobsquweb', 'infoloker', 'loker', 'lokerterbaru', 'lowongankerjaterbaru', 'insert', 'goodbyejokowi', 'amel', 'inisialm', '']","['loker', 'pkss', 'cleaning', 'service', 'loker', 'jobsquweb', 'group', 'lowongankerja', 'loker', 'lokerjabodetabek', 'lokerindonesia', 'jobsquweb', 'infoloker', 'loker', 'lokerterbaru', 'lowongankerjaterbaru', 'insert', 'goodbyejokowi', 'amel', 'inisialm', '']"
98,Negatif,jokowi sudah gagal  boro boro   periode  bila tidak segera mengundurkan diri  indonesia bakal menghadapi turbulensi bahkan tsunami politik   goodbyejokowi  goodbyejokowi,"['jokowi', 'sudah', 'gagal', 'boro', 'boro', 'periode', 'bila', 'tidak', 'segera', 'mengundurkan', 'diri', 'indonesia', 'bakal', 'menghadapi', 'turbulensi', 'bahkan', 'tsunami', 'politik', 'goodbyejokowi', 'goodbyejokowi']","['jokowi', 'gagal', 'boro', 'boro', 'periode', 'mengundurkan', 'indonesia', 'menghadapi', 'turbulensi', 'tsunami', 'politik', 'goodbyejokowi', 'goodbyejokowi']","['jokowi', 'gagal', 'boro', 'boro', 'periode', 'undur', 'indonesia', 'hadap', 'turbulensi', 'tsunami', 'politik', 'goodbyejokowi', 'goodbyejokowi']"
99,Positif,qobul  mari kita aminkan goodbyejokowi  goodbyejokowi,"['qobul', 'mari', 'kita', 'aminkan', 'goodbyejokowi', 'goodbyejokowi']","['qobul', 'mari', 'aminkan', 'goodbyejokowi', 'goodbyejokowi']","['qobul', 'mari', 'amin', 'goodbyejokowi', 'goodbyejokowi']"
100,Negatif,goodbyejokowi  buzzerp nasbung goodbyejokowi,"['goodbyejokowi', 'buzzerp', 'nasbung', 'goodbyejokowi']","['goodbyejokowi', 'buzzerp', 'nasbung', 'goodbyejokowi']","['goodbyejokowi', 'buzzerp', 'nasbung', 'goodbyejokowi']"
101,Positif,apakah iya goodbyejokowi        buka tweet shock,"['apakah', 'iya', 'goodbyejokowi', 'buka', 'tweet', 'shock']","['iya', 'goodbyejokowi', 'buka', 'tweet', 'shock']","['iya', 'goodbyejokowi', 'buka', 'tweet', 'shock']"
102,Positif,aamiin yra goodbyejokowi goodbyejokowi,"['aamiin', 'yra', 'goodbyejokowi', 'goodbyejokowi']","['aamiin', 'yra', 'goodbyejokowi', 'goodbyejokowi']","['aamiin', 'yra', 'goodbyejokowi', 'goodbyejokowi']"
103,Positif, semoga rezim bisa segera taubat  goodbyejokowi,"['', 'semoga', 'rezim', 'bisa', 'segera', 'taubat', 'goodbyejokowi']","['', 'semoga', 'rezim', 'taubat', 'goodbyejokowi']","['', 'moga', 'rezim', 'taubat', 'goodbyejokowi']"
104,Positif,semoga pemimpin kita ga seperti ini  aamiin           insert goodbyejokowi  inisial m  ,"['semoga', 'pemimpin', 'kita', 'ga', 'seperti', 'ini', 'aamiin', 'insert', 'goodbyejokowi', 'inisial', 'm', '']","['semoga', 'pemimpin', 'ga', 'aamiin', 'insert', 'goodbyejokowi', 'inisial', 'm', '']","['moga', 'pimpin', 'ga', 'aamiin', 'insert', 'goodbyejokowi', 'inisial', 'm', '']"
105,Positif,ada tagar goodbyejokowi udah bikin bahagia goodbyejokowi   ,"['ada', 'tagar', 'goodbyejokowi', 'udah', 'bikin', 'bahagia', 'goodbyejokowi', '']","['tagar', 'goodbyejokowi', 'udah', 'bikin', 'bahagia', 'goodbyejokowi', '']","['tagar', 'goodbyejokowi', 'udah', 'bikin', 'bahagia', 'goodbyejokowi', '']"
106,Negatif,goodbyejokowi sampun ni mawon ketimbang soyo getun tibo buri,"['goodbyejokowi', 'sampun', 'ni', 'mawon', 'ketimbang', 'soyo', 'getun', 'tibo', 'buri']","['goodbyejokowi', 'sampun', 'ni', 'mawon', 'ketimbang', 'soyo', 'getun', 'tibo', 'buri']","['goodbyejokowi', 'sampun', 'ni', 'mawon', 'ketimbang', 'soyo', 'getun', 'tibo', 'bur']"
107,Positif,ikutan ah   goodbyejokowi  goodbyejokowi  ,"['ikutan', 'ah', 'goodbyejokowi', 'goodbyejokowi', '']","['ikutan', 'ah', 'goodbyejokowi', 'goodbyejokowi', '']","['ikut', 'ah', 'goodbyejokowi', 'goodbyejokowi', '']"
108,Negatif,ayo si muka tebal  goodbyejokowi ayo yg fak ada malu  goodbyejokowi,"['ayo', 'si', 'muka', 'tebal', 'goodbyejokowi', 'ayo', 'yg', 'fak', 'ada', 'malu', 'goodbyejokowi']","['ayo', 'si', 'muka', 'tebal', 'goodbyejokowi', 'ayo', 'yg', 'fak', 'malu', 'goodbyejokowi']","['ayo', 'si', 'muka', 'tebal', 'goodbyejokowi', 'ayo', 'yg', 'fak', 'malu', 'goodbyejokowi']"
109,Negatif,pengadilan nigeria menjatuhkan hukuman    th penjara kepada seorang  kafir  karena membuat postingan medsos yg dianggap melecehkan islam di wilayah utara negara afrika barat itu    bagaimana dg indonesia        goodbyejokowi recehkansahur ordebrutal ramadan   pagii mo salah     ,"['pengadilan', 'nigeria', 'menjatuhkan', 'hukuman', 'th', 'penjara', 'kepada', 'seorang', 'kafir', 'karena', 'membuat', 'postingan', 'medsos', 'yg', 'dianggap', 'melecehkan', 'islam', 'di', 'wilayah', 'utara', 'negara', 'afrika', 'barat', 'itu', 'bagaimana', 'dg', 'indonesia', 'goodbyejokowi', 'recehkansahur', 'ordebrutal', 'ramadan', 'pagii', 'mo', 'salah', '']","['pengadilan', 'nigeria', 'menjatuhkan', 'hukuman', 'th', 'penjara', 'kafir', 'postingan', 'medsos', 'yg', 'dianggap', 'melecehkan', 'islam', 'wilayah', 'utara', 'negara', 'afrika', 'barat', 'dg', 'indonesia', 'goodbyejokowi', 'recehkansahur', 'ordebrutal', 'ramadan', 'pagii', 'mo', 'salah', '']","['adil', 'nigeria', 'jatuh', 'hukum', 'th', 'penjara', 'kafir', 'postingan', 'medsos', 'yg', 'anggap', 'leceh', 'islam', 'wilayah', 'utara', 'negara', 'afrika', 'barat', 'dg', 'indonesia', 'goodbyejokowi', 'recehkansahur', 'ordebrutal', 'ramadan', 'pagi', 'mo', 'salah', '']"
110,Positif,ada apa ini ya   goodbyejokowi,"['ada', 'apa', 'ini', 'ya', 'goodbyejokowi']","['ya', 'goodbyejokowi']","['ya', 'goodbyejokowi']"
111,Negatif,untuk sekali saja berbakti pada negeri ini turunlah goodbyejokowi,"['untuk', 'sekali', 'saja', 'berbakti', 'pada', 'negeri', 'ini', 'turunlah', 'goodbyejokowi']","['berbakti', 'negeri', 'turunlah', 'goodbyejokowi']","['bakti', 'negeri', 'turun', 'goodbyejokowi']"
